"Annee","DEPARTEMENT","Nb_vente","NbMaisons","NbApparts","PrixMoyen","Prixm2Moyen","SurfaceMoy","faits","POP","txpourmille"
2014,"01",5198,3516,1682,184844.013725729,1866.19853124347,101.761833497135,NA,618339,NA
2014,"02",4144,3824,320,115585.014405426,1209.14657244243,99.580393384114,NA,520155,NA
2014,"03",3260,2503,757,96619.0422629238,1040.37619708617,94.1159576224148,NA,337456,NA
2014,"04",1685,977,708,150105.055624732,1914.81728163605,77.787845244319,NA,157291,NA
2014,"05",2120,610,1510,148749.655853961,2045.28018094586,77.6140270809732,NA,135137,NA
2014,"06",16737,2725,14012,230182.737341366,2993.51823650557,74.1059449994834,NA,1078528,NA
2014,"07",2562,1987,575,139374.971037042,1653.29698791138,87.1550895318524,NA,318197,NA
2014,"08",1436,1194,242,118890.899023304,1229.65358994048,99.3024635274801,NA,206864,NA
2014,"09",1533,1301,232,116316.802411634,1300.83691439676,93.2830995327179,NA,145166,NA
2014,"10",2485,1549,936,126135.616433006,1228.64734343161,106.829297661769,NA,264719,NA
2014,"11",4721,3469,1252,124851.225932246,1293.32087545486,97.9842914878388,NA,358942,NA
2014,"12",2359,1594,765,114844.507218836,1305.37040407536,92.1681189215685,NA,272048,NA
2014,"13",17562,5935,11627,291445.633507215,3140.82940624206,92.0450568308692,NA,2004371,NA
2014,"14",7474,4559,2915,169348.383349324,1726.75639095762,102.353547681078,NA,667091,NA
2014,"15",1227,860,367,98035.4830995562,1151.03633129061,88.9352660222389,NA,139666,NA
2014,"16",3169,2914,255,115957.157050123,1108.84353858839,107.396283476219,NA,345902,NA
2014,"17",8108,6343,1765,148565.727327962,1501.30728192078,105.335202791493,NA,625187,NA
2014,"18",2727,2355,372,97037.3494183327,1063.63743726347,92.5714200092776,NA,305664,NA
2014,"19",1939,1561,378,105912.055475496,1211.48421850563,90.4133676753467,NA,226187,NA
2014,"21",5491,2908,2583,138019.960136158,1380.62593607633,102.854667799511,NA,513754,NA
2014,"22",5772,4932,840,119552.318677503,1263.22479022745,96.0254977515862,NA,594109,NA
2014,"23",1035,982,53,80001.9171092585,911.965493582448,89.9224996714762,NA,113997,NA
2014,"24",3587,3215,372,144152.548972991,1389.84984270031,104.02364567059,NA,391587,NA
2014,"25",4794,2399,2395,160443.345291688,1568.57349550885,106.688871919374,NA,514662,NA
2014,"26",4531,2829,1702,191011.019574136,1910.86635084407,102.656282454265,NA,487053,NA
2014,"27",4831,4214,617,159066.949733609,1674.01574703137,98.7381800323031,NA,556607,NA
2014,"28",3909,3192,717,148574.066878045,1594.38672926217,98.5351819692984,NA,428234,NA
2014,"29",9607,6955,2652,130487.120621715,1377.59992445942,97.0914998667896,NA,899475,NA
2014,"2A",1199,414,785,180517.418058884,2427.12639186002,70.6493483229168,NA,148213,NA
2014,"2B",1318,469,849,140621.566610701,1956.54495307218,73.7574096614402,NA,165222,NA
2014,"30",6577,4227,2350,186062.827477905,1956.39786922025,95.8886484845381,NA,727908,NA
2014,"31",13649,6102,7547,181777.301471861,1752.73726883117,107.842394372294,NA,1291236,NA
2014,"32",1545,1366,179,152853.46269697,1403.92700363636,112.821465515152,NA,172761,NA
2014,"33",16922,10416,6506,170647.68389662,1655.73500437376,108.463427316103,NA,1513660,NA
2014,"34",13911,6280,7631,185815.404754098,1989.57357081967,94.0881429836066,NA,1088464,NA
2014,"35",10054,5813,4241,140833.523538462,1529.63046953846,95.0090928615385,NA,1029933,NA
2014,"36",2011,1839,172,85296.2185067873,1011.09816606335,86.9064952941176,NA,223057,NA
2014,"37",5745,3975,1770,141914.072546816,1474.13478764045,99.6867437453184,NA,602810,NA
2014,"38",12006,5467,6539,189124.387621053,2019.50053894737,97.4806553263158,NA,1235101,NA
2014,"39",2219,1652,567,126682.115212766,1278.19602367021,102.961579281915,NA,244997,NA
2014,"40",4273,3060,1213,157139.243079585,1574.92460934256,105.590696782007,NA,390372,NA
2014,"41",2940,2542,398,119497.52408,1322.9162656,92.4783348,NA,330732,NA
2014,"42",6243,3235,3008,138913.159124579,1444.01738653199,97.6924133333333,NA,750400,NA
2014,"43",1787,1384,403,100231.636233184,1134.52124887892,92.2458330941704,NA,221792,NA
2014,"44",15128,9618,5510,162844.210676329,1829.3772173913,93.8327396618357,NA,1347735,NA
2014,"45",6065,4242,1823,145929.447184466,1529.83136828479,100.632236440129,NA,666623,NA
2014,"46",1463,1258,205,141705.117007874,1537.1428507874,97.8261641732283,NA,163186,NA
2014,"47",3196,2740,456,152935.080341297,1373.4038116041,114.219695870307,NA,327685,NA
2014,"48",558,449,109,110072.773243243,1353.00827297297,84.6676361261261,NA,69492,NA
2014,"49",6639,5048,1591,146678.828959538,1415.96993526012,104.629213930636,NA,803696,NA
2014,"50",4472,3953,519,118213.136519608,1297.06652352941,95.3395197303922,NA,493820,NA
2014,"51",4025,2372,1653,161763.394458204,1529.167525387,108.691293684211,NA,490811,NA
2014,"52",680,553,127,103460.899821429,1032.64256607143,103.211860535714,NA,95705,NA
2014,"53",2657,2321,336,103452.371486486,1132.04312207207,94.2958463063063,NA,303144,NA
2014,"54",6615,3992,2623,131751.811558442,1263.72977229437,109.84584995671,NA,714891,NA
2014,"55",1105,918,187,96737.1760089686,999.946069955157,99.5446906278027,NA,142155,NA
2014,"56",7346,5669,1677,144551.402822581,1582.31341048387,93.96074625,NA,740273,NA
2014,"58",2106,1842,264,84308.3993571429,992.834986785714,87.1510964285714,NA,209784,NA
2014,"59",23563,18508,5055,151413.639984177,1519.97036344937,101.723584810127,NA,2587659,NA
2014,"60",7070,5523,1547,168355.149093851,1837.33536893204,96.4597129449838,NA,801351,NA
2014,"61",2497,2277,220,113836.882029851,1244.01752089552,94.827263641791,NA,279952,NA
2014,"62",11559,10009,1550,140278.690778061,1457.08728201531,100.525852091837,NA,1450259,NA
2014,"63",6511,4049,2462,114204.265096618,1267.38655676328,92.4001096376812,NA,632683,NA
2014,"64",6617,2888,3729,169321.845534884,1576.84283790698,112.487163744186,NA,645788,NA
2014,"65",2254,1296,958,142052.426677741,1456.80926877076,105.38735192691,NA,209982,NA
2014,"66",6311,3602,2709,143890.245867347,1774.22283163265,82.623543622449,NA,458268,NA
2014,"69",17266,4908,12358,224067.368045977,2249.05281494253,101.350442260536,NA,1795929,NA
2014,"70",1348,1156,192,115770.362915129,1145.44023837638,104.420155756458,NA,173745,NA
2014,"71",4555,3541,1014,126459.292470588,1297.39981686275,99.3812765490196,NA,545363,NA
2014,"72",4908,4067,841,113257.043976261,1215.45188724036,94.4837464985163,NA,562567,NA
2014,"73",5808,1685,4123,178162.150423077,2311.97874115385,82.6610331923077,NA,423315,NA
2014,"74",9252,2997,6255,282323.989669118,3247.76568382353,89.4907656985294,NA,778663,NA
2014,"75",24693,95,24598,434432,8079.005,53.21589,NA,0,NA
2014,"76",11165,7693,3472,151905.5125966,1606.15265224111,98.3360327047914,NA,1244415,NA
2014,"77",13179,8543,4636,203904.494878543,2231.38515526316,98.4107738259109,NA,1375152,NA
2014,"78",13279,6223,7056,299049.79516129,3021.75770564516,104.745636491935,NA,1402826,NA
2014,"79",3265,3007,258,110072.940491803,1056.32166434426,107.039972008197,NA,370952,NA
2014,"80",4815,4079,736,122269.461419355,1334.32017193548,94.5214141935484,NA,544374,NA
2014,"81",3263,2765,498,152002.880855019,1404.33155427509,108.179987434944,NA,376990,NA
2014,"82",2247,1847,400,153512.02125,1447.31651079545,111.386213693182,NA,250280,NA
2014,"83",13188,5543,7645,267412.234246575,3086.43859589041,88.1523947945205,NA,1026613,NA
2014,"84",4866,3094,1772,267155.884671533,2624.04159854015,99.5711854744525,NA,552344,NA
2014,"85",7000,5920,1080,128238.192578125,1402.85884726562,97.1601679296875,NA,661411,NA
2014,"86",3963,3189,774,109079.026324111,1144.74402727273,97.6483196442688,NA,428952,NA
2014,"87",3275,2389,886,104861.157801047,1151.90090942408,93.2919237172775,NA,374831,NA
2014,"88",2805,2071,734,106791.833561644,1071.14972684932,103.066023424658,NA,351993,NA
2014,"89",3331,2851,480,108489.417246753,1182.59445194805,95.6583275064935,NA,336580,NA
2014,"90",1149,598,551,158604.018604651,1465.2346744186,110.545133604651,NA,140694,NA
2014,"91",10677,5884,4793,236129.345502646,2776.70577777778,90.7148612169312,NA,1256337,NA
2014,"92",15837,2247,13590,384137.761111111,5408.46352777778,70.1789919444444,NA,1597770,NA
2014,"93",10498,3731,6767,207710.4175,3364.47635,65.3717915,NA,1571028,NA
2014,"94",12000,3062,8938,271027.389361702,3992.51017021277,72.0090572340426,NA,1365039,NA
2014,"95",10248,5474,4774,240535.844,2840.24168571429,89.9994329142857,NA,1203656,NA
2015,"01",6036,4202,1834,187582.239215038,1856.03976505605,103.380409389896,NA,630015,NA
2015,"02",4643,4291,352,116120.664252351,1182.76937078354,102.43877557728,NA,522361,NA
2015,"03",3657,2850,807,98917.1793453539,1035.31342773919,96.1131968327256,NA,338042,NA
2015,"04",1728,1030,698,146116.701610695,1898.29449477382,78.0854590490541,NA,158099,NA
2015,"05",2349,769,1580,160869.799306814,1987.08264752604,84.2853704655775,NA,138917,NA
2015,"06",18533,3090,15443,241873.610092719,3079.74365532004,76.3049945707108,NA,1076767,NA
2015,"07",2883,2165,718,143367.919533749,1695.28714603506,88.2199922790843,NA,321024,NA
2015,"08",1555,1251,304,114281.96020969,1158.36682979338,100.830159459453,NA,206758,NA
2015,"09",1639,1420,219,113344.065669637,1263.64717434141,93.7672902142023,NA,145197,NA
2015,"10",2806,1856,950,122370.239199514,1192.30621055496,105.760436528403,NA,268126,NA
2015,"11",5216,3840,1376,127445.404131114,1309.29197634183,98.7805238081667,NA,360745,NA
2015,"12",2614,1826,788,113297.426030315,1223.42670562665,94.9090443329719,NA,275231,NA
2015,"13",20499,7237,13262,293934.692604204,3169.11571317456,92.4005832132534,NA,2016622,NA
2015,"14",9104,5691,3413,169293.825296449,1666.05396826688,104.189688500887,NA,672719,NA
2015,"15",1300,904,396,96642.0800953937,1140.28747374097,87.2360957342605,NA,138741,NA
2015,"16",3581,3339,242,119604.371274231,1112.70543608003,108.495522739319,NA,349333,NA
2015,"17",9053,7071,1982,146308.019074422,1474.13412113278,105.593250460027,NA,632140,NA
2015,"18",3095,2686,409,103026.600166984,1108.66867524385,93.6058554185022,NA,305331,NA
2015,"19",2178,1758,420,111186.041141214,1228.37912735939,93.4548414093691,NA,228543,NA
2015,"21",6300,3370,2930,134368.604913492,1341.21487810759,102.461815851739,NA,517105,NA
2015,"22",7045,6079,966,115072.211673943,1240.20856454535,94.9114677374966,NA,596110,NA
2015,"23",1128,1072,56,76962.158261417,842.281767071419,92.0621249450821,NA,115496,NA
2015,"24",4146,3703,443,148494.166063211,1398.10620693737,108.58391885957,NA,392715,NA
2015,"25",5293,2601,2692,152760.575093951,1541.6545909819,104.001504976861,NA,515807,NA
2015,"26",5130,3286,1844,190671.687592503,1910.74403194364,102.843100861521,NA,495444,NA
2015,"27",5387,4733,654,156150.719157105,1627.79756931306,101.16457550543,NA,560449,NA
2015,"28",4611,3770,841,145728.665510174,1538.79725908865,99.5068320018197,NA,432766,NA
2015,"29",11367,8236,3131,129880.255311837,1365.04156665942,98.405672739596,NA,906932,NA
2015,"2A",1328,441,887,187414.890003765,2270.73170301027,77.0275694797659,NA,149500,NA
2015,"2B",1282,446,836,139425.097358406,2033.45692042383,70.3949114814193,NA,166288,NA
2015,"30",7482,4782,2700,180144.490831057,1914.48729893499,95.8266912423893,NA,727924,NA
2015,"31",15508,7147,8361,184785.63994316,1750.92209289324,108.457268437113,NA,1308194,NA
2015,"32",1758,1588,170,156717.668511279,1363.92934639191,117.947254309295,NA,174995,NA
2015,"33",19737,12394,7343,172119.043905223,1655.11146037999,108.079871651506,NA,1542117,NA
2015,"34",15705,7228,8477,190342.11868016,2018.22689733912,93.9950040781128,NA,1111648,NA
2015,"35",12220,7266,4954,145993.103725462,1517.53881609151,99.4463174401877,NA,1041774,NA
2015,"36",2070,1923,147,92773.5767624956,1008.81259572214,92.2107964483673,NA,221177,NA
2015,"37",6322,4346,1976,134946.719643234,1448.76715705616,96.8689204404633,NA,604343,NA
2015,"38",13735,6325,7410,185530.528771561,1953.42938533948,98.7311864174566,NA,1244901,NA
2015,"39",2496,1831,665,126886.553465921,1269.68405077415,104.393917909854,NA,248217,NA
2015,"40",5073,3613,1460,154049.149844163,1530.96719495982,106.6407106958,NA,396380,NA
2015,"41",3371,2917,454,126119.467265625,1325.40937929687,98.588581640625,NA,330856,NA
2015,"42",6785,3605,3180,137741.803235294,1434.99770261438,98.2251737908497,NA,756112,NA
2015,"43",2062,1600,462,101311.329864253,1110.10304886878,93.2178959276018,NA,222822,NA
2015,"44",16453,10245,6208,164706.202731707,1787.21608682927,95.9214145853659,NA,1362404,NA
2015,"45",7131,5135,1996,138343.404267516,1495.47765732484,96.5151502547771,NA,671239,NA
2015,"46",1695,1492,203,139985.456740741,1458.60486037037,98.3037072222222,NA,166058,NA
2015,"47",3574,3094,480,147643.97887372,1345.85468054608,111.630763412969,NA,328780,NA
2015,"48",545,457,88,118388.355245902,1437.14525983607,84.5392762295082,NA,72568,NA
2015,"49",7803,5828,1975,140104.159318182,1411.79139943182,102.165482897727,NA,808698,NA
2015,"50",5215,4597,618,123277.019534314,1299.2519495098,98.1252520588235,NA,494256,NA
2015,"51",4573,2742,1831,164755.999270517,1513.06685835866,111.715242066869,NA,492143,NA
2015,"52",723,586,137,107445.013461538,1050.44346346154,105.069726923077,NA,93471,NA
2015,"53",3276,2823,453,105828.136978723,1099.62082723404,98.4713716170213,NA,306641,NA
2015,"54",7532,4585,2947,134715.507484144,1262.6498589852,111.426988668076,NA,719007,NA
2015,"55",1225,1087,138,94575.5952765957,913.96598,109.283305617021,NA,142509,NA
